pcap_path,csv_path,packets,rows,packets_per_row,window_class,is_flood_named
Bluetooth/attacks/pcap/test/Bluetooth_Benign_test.pcap,eda/data/interim/CICIoMT2024/Bluetooth/attacks/csv/test/Bluetooth_Benign_test.pcap.csv,65330,6533,10.000000,~10,0
Bluetooth/attacks/pcap/test/Bluetooth_DoS_test.pcap,eda/data/interim/CICIoMT2024/Bluetooth/attacks/csv/test/Bluetooth_DoS_test.pcap.csv,251708,25171,9.999921,~10,1
Bluetooth/attacks/pcap/train/Bluetooth_Benign_train.pcap,eda/data/interim/CICIoMT2024/Bluetooth/attacks/csv/train/Bluetooth_Benign_train.pcap.csv,217493,21750,9.999678,~10,0
Bluetooth/attacks/pcap/train/Bluetooth_DoS_train.pcap,eda/data/interim/CICIoMT2024/Bluetooth/attacks/csv/train/Bluetooth_DoS_train.pcap.csv,998391,99840,9.999910,~10,1
WiFI_and_MQTT/attacks/pcap/test/ARP_Spoofing_test.pcap,eda/data/interim/CICIoMT2024/WiFI_and_MQTT/attacks/csv/test/ARP_Spoofing_test.pcap.csv,17463,1744,10.013188,~10,0
WiFI_and_MQTT/attacks/pcap/test/Benign_test.pcap,eda/data/interim/CICIoMT2024/WiFI_and_MQTT/attacks/csv/test/Benign_test.pcap.csv,377536,37607,10.038982,~10,0
WiFI_and_MQTT/attacks/pcap/test/MQTT-DDoS-Connect_Flood_test.pcap,eda/data/interim/CICIoMT2024/WiFI_and_MQTT/attacks/csv/test/MQTT-DDoS-Connect_Flood_test.pcap.csv,4189922,41916,99.959968,~100,1
WiFI_and_MQTT/attacks/pcap/test/MQTT-DDoS-Publish_Flood_test.pcap,eda/data/interim/CICIoMT2024/WiFI_and_MQTT/attacks/csv/test/MQTT-DDoS-Publish_Flood_test.pcap.csv,840207,8416,99.834482,~100,1
WiFI_and_MQTT/attacks/pcap/test/MQTT-DoS-Connect_Flood_test.pcap,eda/data/interim/CICIoMT2024/WiFI_and_MQTT/attacks/csv/test/MQTT-DoS-Connect_Flood_test.pcap.csv,312927,3131,99.944746,~100,1
WiFI_and_MQTT/attacks/pcap/test/MQTT-DoS-Publish_Flood_test.pcap,eda/data/interim/CICIoMT2024/WiFI_and_MQTT/attacks/csv/test/MQTT-DoS-Publish_Flood_test.pcap.csv,849206,8505,99.847854,~100,1
WiFI_and_MQTT/attacks/pcap/test/MQTT-Malformed_Data_test.pcap,eda/data/interim/CICIoMT2024/WiFI_and_MQTT/attacks/csv/test/MQTT-Malformed_Data_test.pcap.csv,17470,1747,10.000000,~10,0
WiFI_and_MQTT/attacks/pcap/test/Recon-OS_Scan_test.pcap,eda/data/interim/CICIoMT2024/WiFI_and_MQTT/attacks/csv/test/Recon-OS_Scan_test.pcap.csv,38364,3834,10.006260,~10,0
WiFI_and_MQTT/attacks/pcap/test/Recon-Ping_Sweep_test.pcap,eda/data/interim/CICIoMT2024/WiFI_and_MQTT/attacks/csv/test/Recon-Ping_Sweep_test.pcap.csv,1852,186,9.956989,~10,0
WiFI_and_MQTT/attacks/pcap/test/Recon-Port_Scan_test.pcap,eda/data/interim/CICIoMT2024/WiFI_and_MQTT/attacks/csv/test/Recon-Port_Scan_test.pcap.csv,226233,22622,10.000575,~10,0
WiFI_and_MQTT/attacks/pcap/test/Recon-VulScan_test.pcap,eda/data/interim/CICIoMT2024/WiFI_and_MQTT/attacks/csv/test/Recon-VulScan_test.pcap.csv,10366,1034,10.025145,~10,0
WiFI_and_MQTT/attacks/pcap/test/TCP_IP-DDoS-ICMP1_test.pcap,eda/data/interim/CICIoMT2024/WiFI_and_MQTT/attacks/csv/test/TCP_IP-DDoS-ICMP1_test.pcap.csv,15394832,154007,99.961898,~100,1
WiFI_and_MQTT/attacks/pcap/test/TCP_IP-DDoS-ICMP2_test.pcap,eda/data/interim/CICIoMT2024/WiFI_and_MQTT/attacks/csv/test/TCP_IP-DDoS-ICMP2_test.pcap.csv,19560366,195692,99.954858,~100,1
WiFI_and_MQTT/attacks/pcap/test/TCP_IP-DDoS-SYN_test.pcap,eda/data/interim/CICIoMT2024/WiFI_and_MQTT/attacks/csv/test/TCP_IP-DDoS-SYN_test.pcap.csv,17233425,172397,99.963601,~100,1
