pcap_path,rows,packets,packets_per_row,window_class
Bluetooth/profiling/pcap/CheckmeO2_Oximeter_Power.pcap,146,1460,10.000000,~10
Bluetooth/profiling/pcap/Checkme_BP2A_Power.pcap,251,2502,9.968127,~10
Bluetooth/profiling/pcap/Checkme_O2_Oximeter_Power.pcap,233,2323,9.969957,~10
Bluetooth/profiling/pcap/COOSPO_HW807_Armband_Power.pcap,122,1213,9.942623,~10
Bluetooth/profiling/pcap/Lookee_O2_Ring_Power.pcap,136,1356,9.970588,~10
Bluetooth/profiling/pcap/Lookee_Sleep_ring_Power.pcap,198,1980,10.000000,~10
Bluetooth/profiling/pcap/Powerlabs_HR_Monitor_Power.pcap,139,1386,9.971223,~10
Bluetooth/profiling/pcap/Rhythm+_Power.pcap,292,2911,9.969178,~10
Bluetooth/profiling/pcap/SleepU_Sleep_Oxygen_Monitor_Power.pcap,131,1307,9.977099,~10
Bluetooth/profiling/pcap/Wellue_O2_Ring_Power.pcap,145,1445,9.965517,~10
WiFI_and_MQTT/profiling/PCAP/Active/Active.pcap,103912,1040643,10.014657,~10
WiFI_and_MQTT/profiling/PCAP/Broker/ActiveBroker.pcap,197564,1981055,10.027409,~10
WiFI_and_MQTT/profiling/PCAP/Idle/Idle.pcap,32689,328923,10.062192,~10
WiFI_and_MQTT/profiling/PCAP/Interactions/Blink_Camera/Blink_Camera_LAN_MIC.pcap,2146,21455,9.997670,~10
WiFI_and_MQTT/profiling/PCAP/Interactions/Blink_Camera/Blink_Camera_LAN_WATCH.pcap,1883,18821,9.995220,~10
WiFI_and_MQTT/profiling/PCAP/Interactions/Blink_Camera/Blink_Camera_WAN_MIC.pcap,2218,22173,9.996844,~10
WiFI_and_MQTT/profiling/PCAP/Interactions/Blink_Camera/Blink_Camera_WAN_WATCH.pcap,1586,15857,9.998108,~10
WiFI_and_MQTT/profiling/PCAP/Interactions/Ecobee_Camera/Ecobee_Camera_LAN_MIC.pcap,3874,38731,9.997677,~10
WiFI_and_MQTT/profiling/PCAP/Interactions/Ecobee_Camera/Ecobee_Camera_LAN_WATCH.pcap,3666,36647,9.996454,~10
WiFI_and_MQTT/profiling/PCAP/Interactions/Ecobee_Camera/Ecobee_Camera_WAN_MIC.pcap,3586,35853,9.998048,~10
WiFI_and_MQTT/profiling/PCAP/Interactions/Ecobee_Camera/Ecobee_Camera_WAN_WATCH.pcap,3338,33376,9.998802,~10
WiFI_and_MQTT/profiling/PCAP/Interactions/M1T_Camera/M1T_Camera_LAN_MIC.pcap,1611,16106,9.997517,~10
WiFI_and_MQTT/profiling/PCAP/Interactions/M1T_Camera/M1T_Camera_LAN_PHOTO.pcap,144,1439,9.993056,~10
WiFI_and_MQTT/profiling/PCAP/Interactions/M1T_Camera/M1T_Camera_LAN_PRECORDING.pcap,849,8484,9.992933,~10
WiFI_and_MQTT/profiling/PCAP/Interactions/M1T_Camera/M1T_Camera_LAN_WATCH.pcap,1187,11865,9.995788,~10
WiFI_and_MQTT/profiling/PCAP/Interactions/M1T_Camera/M1T_Camera_WAN_MIC.pcap,1736,17354,9.996544,~10
