pcap_path,pcap_size_bytes,pcap_packets,pcap_duration_s,matched_csv,csv_rows,csv_has_iat,csv_iat_sum,csv_has_timestamp_col,iat_to_pcap_duration_ratio,note
WiFI_and_MQTT/profiling/PCAP/Interactions/Multifunctional_Pager/Multifunctional_Pager_WAN_PHYSICAL.pcap,17045,91,395.356368,0,,,,,,no_direct_csv_pair_found
WiFI_and_MQTT/profiling/PCAP/Interactions/SenseU/SenseU_WAN_EMERGENCY.pcap,23374,157,757.216412,0,,,,,,no_direct_csv_pair_found
WiFI_and_MQTT/profiling/PCAP/Interactions/Multifunctional_Pager/Multifunctional_Pager_LAN_PHYSICAL.pcap,30087,202,610.025425,0,,,,,,no_direct_csv_pair_found
WiFI_and_MQTT/profiling/PCAP/Interactions/SenseU/SenseU_LAN_EMERGENCY.pcap,36196,216,537.870951,0,,,,,,no_direct_csv_pair_found
WiFI_and_MQTT/profiling/PCAP/Interactions/Multifunctional_Pager/Multifunctional_Pager_WAN_APP.pcap,36499,202,287.571968,0,,,,,,no_direct_csv_pair_found
Bluetooth/profiling/pcap/COOSPO_HW807_Armband_Power.pcap,43376,1213,307.553119,1,122,1,27760060.858727,0,90261.028579,
WiFI_and_MQTT/profiling/PCAP/Power/SenseUBaby_Power.pcap,43472,352,1368.110660,0,,,,,,no_direct_csv_pair_found
Bluetooth/profiling/pcap/Powerlabs_HR_Monitor_Power.pcap,49228,1386,353.430011,1,139,1,31277768.397331,0,88497.771612,
WiFI_and_MQTT/profiling/PCAP/Interactions/Singcall/Singcall_WAN_PHYSICAL.pcap,51650,334,234.947026,0,,,,,,no_direct_csv_pair_found
Bluetooth/profiling/pcap/CheckmeO2_Oximeter_Power.pcap,52128,1460,358.029471,1,146,1,32864971.852303,0,91794.040775,
Bluetooth/profiling/pcap/SleepU_Sleep_Oxygen_Monitor_Power.pcap,54113,1307,330.229523,1,131,1,33604113.435745,0,101759.870262,
Bluetooth/profiling/pcap/Lookee_O2_Ring_Power.pcap,57248,1356,329.199155,1,136,1,31249299.510320,0,94925.211766,
WiFI_and_MQTT/profiling/PCAP/Interactions/Singcall/Singcall_LAN_PHYSICAL.pcap,62272,419,258.992290,0,,,,,,no_direct_csv_pair_found
Bluetooth/profiling/pcap/Wellue_O2_Ring_Power.pcap,62589,1445,350.928237,1,145,1,35950562.715530,0,102444.200634,
WiFI_and_MQTT/profiling/PCAP/Interactions/Multifunctional_Pager/Multifunctional_Pager_LAN_APP.pcap,64467,434,508.543976,0,,,,,,no_direct_csv_pair_found
Bluetooth/profiling/pcap/Lookee_Sleep_ring_Power.pcap,68527,1980,331.826206,1,198,1,29925787.091255,0,90185.122673,
WiFI_and_MQTT/profiling/PCAP/Power/Singcall_Power.pcap,79525,506,1586.062185,0,,,,,,no_direct_csv_pair_found
Bluetooth/profiling/pcap/Checkme_O2_Oximeter_Power.pcap,92774,2323,348.068214,1,233,1,31669632.061323,0,90986.854855,
WiFI_and_MQTT/profiling/PCAP/Power/Blink_Mini_Camera_Power.pcap,93973,568,1938.065562,0,,,,,,no_direct_csv_pair_found
Bluetooth/profiling/pcap/Checkme_BP2A_Power.pcap,99317,2502,344.352332,1,251,1,30165345.120430,0,87600.234722,
WiFI_and_MQTT/profiling/PCAP/Power/Multifunctional_Pager_Power.pcap,118002,720,2130.332838,0,,,,,,no_direct_csv_pair_found
WiFI_and_MQTT/profiling/PCAP/Power/M1T_Camera_Power.pcap,124866,413,1156.073818,0,,,,,,no_direct_csv_pair_found
Bluetooth/profiling/pcap/Rhythm+_Power.pcap,132805,2911,404.635316,1,292,1,29625083.780289,0,73214.281148,
WiFI_and_MQTT/attacks/pcap/test/Recon-Ping_Sweep_test.pcap,161541,1852,29.744991,1,186,1,15755180607.203169,0,529675082.882560,
